,query_string_n,count,amount,verif_match,audit_type,match_0_n,match_1_n,match_2_n,score_0_n,score_1_n,score_2_n,match_0_n_lev,match_1_n_lev,match_2_n_lev
1795,DR MEADE AND PARTNERS,71,3585109.0,Named Doctor,1,MEAD PARTNERS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,15.158682,13.374683,13.374683,16.0,5.0,4.0
1796,DR MEARS AND PARTNERS,53,1963150.0,Named Doctor,1,FORD MEARS AND PARTNERS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,15.129929,13.374683,13.374683,11.0,5.0,5.0
1797,DR MEF MCCARTHY AND PARTNERS,70,6548455.0,Named Doctor,1,MEF,MEF,DR PAUL MCCARTHY LIMITED,17.39145,17.39145,15.5804405,25.0,25.0,14.0
1798,DR MEH WALLACE AND PARTNER,60,1824252.0,Named Doctor,1,ROBIN WALLACE AND PARTNERS,WALLACE PARTNERS LIMITED,DR ALAN WALLACE LIMITED,15.294319,15.294319,15.009657,6.0,19.0,13.0
1799,DR MEHROTRA AND PARTNER,137,2495206.0,Named Doctor,1,DR RAVI MEHROTRA LIMITED,MEHROTRA SERVICES LIMITED,DR A AZAM AND PARTNERS,19.37204,14.310076,13.374683,14.0,17.0,9.0
1800,DR MEHTA AND PARTNERS,93,6389990.0,Named Doctor,1,DR A MEHTA LIMITED,PROF A AND DR K MEHTA LIMITED,MEHTA AND MEHTA INVESTMENTS LIMITED,19.144170000000003,15.316070999999999,14.523876999999999,12.0,23.0,24.0
1801,DR MEHTA R AND DR PATEL R P,3,54953.0,Named Doctor,1,DR A R PATEL LIMITED,DR R P UGARGOL,DR A PATEL,31.930884999999996,28.845364,27.953644,18.0,20.0,17.0
1802,DR MEHTA R L AND PARTNERS,6,316223.0,Named Doctor,1,DR A MEHTA LIMITED,DR L FREEMAN AND PARTNERS,DR R KAPUR AND PARTNERS,19.144170000000003,17.562044,16.982843,15.0,9.0,8.0
1803,DR MEIWALD AND PARTNERS,134,2439984.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,6.0,6.0,7.0
1804,DR MEKKAWY AND PARTNERS,56,2149599.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,6.0,7.0,7.0
1805,DR MELCHIOR A M AND DR FLEMING G C,51,1739003.0,Named Doctor,1,DR FLEMING LIMITED,DR C G BARRATT LIMITED,DR G C MULLER LIMITED,24.827944,21.396523000000002,21.396523000000002,24.0,23.0,23.0
1806,DR MELLOR PARTNERS,84,4177044.0,Named Doctor,1,DR MELLOR AND PARTNERS,MELLOR BUSINESS PARTNERS LIMITED,MELLORS REAY AND PARTNERS LIMITED,23.725089999999998,14.437897,14.437897,4.0,20.0,21.0
1807,DR MELROSE P A AND PARTNERS,77,3852190.0,Named Doctor,1,DR PAL P AND PARTNER,MELROSE PARTNERS LIMITED,DR H P BORSE AND PARTNER,17.243181,16.167804999999998,15.519194,9.0,16.0,11.0
1808,DR MERCHANT AND PARTNERS,2,619863.0,Named Doctor,1,MERCHANT PARTNERS LIMITED,MERCHANTS AND PARTNERS LIMITED,DR A AZAM AND PARTNERS,14.144819,14.144819,13.374683,15.0,12.0,7.0
1809,DR MERRIN AND PARTNERS,89,5030393.0,Named Doctor,1,DR JAYNE MERRIN LIMITED,MERRIN LIMITED,CONRAD MERRIN LIMITED,18.757133,15.563266,13.618323,16.0,13.0,15.0
1810,DR MG ETMINAN,102,3023438.0,Named Doctor,1,ETMINAN EXCHANGE LIMITED,DR MG 150 LIMITED,DR MG ABDELSALAM ANAESTHESIA LIMITED,15.861232999999999,14.573395999999999,13.116335000000001,19.0,9.0,26.0
1811,DR MG MIKHAIL,2,75104.0,Named Doctor,1,MIKHAIL LIMITED,DR MG 150 LIMITED,BELINDA MIKHAIL LIMITED,15.895039,14.573395999999999,13.908635,13.0,10.0,15.0
1812,DR MG PARMAR,89,3582635.0,Named Doctor,1,DR PARMAR LIMITED,PARMAR AND PARMAR LIMITED,DR MG 150 LIMITED,18.4761,14.847281,14.573395999999999,11.0,16.0,10.0
1813,DR MGW DEHARR AND DR IRFAN RASHID,2,52912.0,Named Doctor,1,DR RASHID LIMITED,IRFAN RASHID LIMITED,DR AND DR LIMITED,26.489971,24.30845,20.212574,25.0,26.0,22.0
1814,DR MH FLASZ,1,63621.0,Named Doctor,1,FLASZ BUILDING SERVICES LIMITED,GLEESON MH,IMPACT MH,14.099248999999999,10.528711999999999,10.528711999999999,28.0,11.0,10.0
1815,DR MH KADARSHA AND PTNRS HOLLYGREEN PRACTICE,41,3765887.0,Named Doctor,1,HOLLYGREEN PRACTICE,DR AHMAD AND PTNRS,DR A ARORAS PRACTICE,26.297617,22.803747,14.632857999999999,25.0,28.0,26.0
1816,DR MH MUZAFER,65,2115025.0,Named Doctor,1,GLEESON MH,IMPACT MH,MH AND A LIMITED,10.528711999999999,10.528711999999999,10.528711999999999,13.0,12.0,13.0
1817,DR MICHAEL G JEFFRIES,1,26130.0,Named Doctor,1,JEFFRIES AND JEFFRIES LIMITED,JEFFRIES,DR A MICHAEL LIMITED,16.026318,15.820328,14.940960999999998,20.0,13.0,11.0
1818,DR MICHELLE CAUGHEYROGERS,56,2602183.0,Named Doctor,1,MICHELLE HAZLEWOOD,MICHELLE’S LIMITED,AMANDA MICHELLE LIMITED,11.683553,11.683553,10.223458,13.0,16.0,17.0
1819,DR MIDDLETON AND PARTNERS,77,4928578.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,9.0,8.0,8.0
1820,DR MILLER AND PARTNERS,83,5035050.0,Named Doctor,1,DR LF MILLER,MILLER PARTNERS LIMITED,MILLERS PARTNERS LIMITED,15.972826000000001,14.381731,14.381731,15.0,15.0,15.0
1821,DR MILLER J AND PARTNERS,87,6050468.0,Named Doctor,1,DR J BARRELL AND PARTNERS,DR J GREIG AND PARTNERS,DR LF MILLER,16.569315,16.569315,15.972826000000001,8.0,7.0,17.0
1822,DR MILLS AND PARTNERS,73,4600463.0,Named Doctor,1,MILL PARTNERS,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,15.114410000000001,13.374683,13.374683,8.0,6.0,5.0
1823,DR MILLS G A AND PARTNERS,83,4026158.0,Named Doctor,1,DR G LEES AND PARTNERS,G MILLS AND PARTNERS LIMITED,DR G S RANDHAWA AND PARTNER,17.252281,17.119726,15.527384,8.0,14.0,12.0
1824,DR MILNER A C,35,1247435.0,Named Doctor,1,DR AC MILNER,C MILNER AND SONS LIMITED,DR C A LIMITED,18.400995,14.812025,13.227867000000002,7.0,16.0,11.0
1825,DR MILNER AND PARTNERS,140,6857191.0,Named Doctor,1,DR AC MILNER,NILES MILNER PARTNERS LIMITED,DR A AZAM AND PARTNERS,18.400995,14.942533,13.374683,14.0,17.0,6.0
1826,DR MISHRA AND MISRA,82,2732218.0,Named Doctor,1,DR KK MISRAS PRACTICE,DR RAVI MISRA GASTROENTEROLOGIST LIMITED,MISRA AND MISRA LIMITED LIABILITY PARTNERSHIP,18.496067,16.646816,15.397271,13.0,27.0,34.0
1827,DR MISHREKI AND PARTNERS,73,4639551.0,Named Doctor,1,MISHREKI HEALTHCARE LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,15.861232999999999,13.374683,13.374683,18.0,8.0,6.0
1828,DR MISRAS SURGERY,7,282649.0,Named Doctor,1,DR KK MISRAS PRACTICE,DR RAVI MISRA GASTROENTEROLOGIST LIMITED,MISRA AND MISRA LIMITED LIABILITY PARTNERSHIP,18.496067,16.646816,15.397271,11.0,28.0,34.0
1829,DR MISTRY AND S HOGGARD,49,3753438.0,Named Doctor,1,DR S MISTRY LIMITED,S MISTRY DESIGNS LIMITED,HOGGARD BUILDERS LIMITED,21.316727,14.665092000000001,14.026295000000001,14.0,14.0,20.0
1830,DR MITCHELL AND PARTNER,73,2730680.0,Named Doctor,1,DR MITCHELL,DR MITCHELL LIMITED,DR CHRISTOPHER MITCHELL LIMITED,18.424,16.121551999999998,14.33065,12.0,9.0,21.0
1831,DR MITCHELL AND PARTNERS,191,5248622.0,Named Doctor,1,DR MITCHELL,DR MITCHELL LIMITED,DR CHRISTOPHER MITCHELL LIMITED,18.424,16.121551999999998,14.33065,13.0,10.0,22.0
1832,DR MITCHELL R G,5,132371.0,Named Doctor,1,DR R MITCHELL LIMITED,DR MITCHELL,R G MITCHELL LEISURE LIMITED,19.424568,18.424,16.32301,9.0,4.0,16.0
1833,DR MIXER P R AND PARTNERS,84,7138657.0,Named Doctor,1,DR PAL P AND PARTNER,DR R P UGARGOL,DR R KAPUR AND PARTNERS,17.243181,17.09981,16.982843,8.0,16.0,7.0
1834,DR MJ BALDWIN AND PARTNERS,20,974988.0,Named Doctor,1,MJ PARTNERS LIMITED,DR MJ DRAKE LIMITED,DR MJ GREEN LIMITED,14.625528,14.41516,14.41516,19.0,16.0,16.0
1835,DR MJ DAVIDSON AND PARTNERS,12,503775.0,Named Doctor,1,DAVIDSON AND PARTNERS LIMITED,MJ PARTNERS LIMITED,DR MJ DRAKE LIMITED,15.563320000000001,14.625528,14.41516,14.0,20.0,17.0
1836,DR MJ FREEMAN AND PARTNERS,60,1333461.0,Named Doctor,1,DR L FREEMAN AND PARTNERS,DR FREEMAN LIMITED,FREEMAN AND PARTNERS LIMITED,20.436885999999998,17.09909,15.507995999999999,2.0,13.0,14.0
1837,DR MJ HINDLE,2,56799.0,Named Doctor,1,DR MJ DRAKE LIMITED,DR MJ GREEN LIMITED,HINDLE CHARITY,14.41516,14.41516,13.471967999999999,11.0,10.0,12.0
1838,DR MJ KNIGHT AND PARTNERS,65,2874879.0,Named Doctor,1,DR PCL KNIGHT,MJ PARTNERS LIMITED,DR MJ DRAKE LIMITED,15.599210999999999,14.625528,14.41516,16.0,19.0,16.0
1839,DR MJ SHAH AND V M SHAH,28,1071536.0,Named Doctor,1,DR M SHAH LIMITED,V SHAH LIMITED,SHAH AND SHAH LIMITED,28.665226,26.709442,25.995897,12.0,16.0,17.0
1840,DR MJ SHAH AND VM SHAH,2,54736.0,Named Doctor,1,VM SHAH LIMITED,SHAH AND SHAH LIMITED,DR ARCHNA SHAH LIMITED,29.83963,25.995897,23.7613,14.0,17.0,16.0
1841,DR MJ VARMA AND PARTNERS,106,7820671.0,Named Doctor,1,DR R VARMA LIMITED,DR SANDEEP VARMA LIMITED,MJ PARTNERS LIMITED,18.01572,18.01572,14.625528,12.0,17.0,17.0
1842,DR MK GUJRAL PRACTICE ACCOUNT,2,71733.0,Named Doctor,1,DR MK BOSES PRACTICE,DR MK LAKHANIS PRACTICE,DR RAMACHANDRAN MK PRACTICE,20.337904,20.337904,20.337904,14.0,15.0,20.0
1843,DR MK KACHROO,5,158113.0,Named Doctor,1,DR MK BOSES PRACTICE,DR MK LAKHANIS PRACTICE,DR RAMACHANDRAN MK PRACTICE,13.982206,13.982206,13.982206,12.0,14.0,19.0
1844,DR MK LECI AND PARTNERS,61,6149798.0,Named Doctor,1,LECI CONSTRUCTION LIMITED,LECI GROUNDWORKS LIMITED,LECI SERVICES LIMITED,14.486792999999999,14.486792999999999,14.486792999999999,22.0,22.0,19.0
1845,DR MK SAKSENA,9,176043.0,Named Doctor,1,SAKSENA SOFTWARE LIMITED,DR MK BOSES PRACTICE,DR MK LAKHANIS PRACTICE,15.861232999999999,13.982206,13.982206,21.0,12.0,13.0
1846,DR MLH KUMAR AND PARTNER TA SOUTH CLUSTER BHARANI MEDICAL CENTRE,25,998242.0,Named Doctor,1,BHARANI MEDICAL CENTRE,DR KUMAR AND PARTNER STUDFALL MEDICAL CTR,KUMAR MEDICAL CENTRE,25.40171,21.680576000000002,21.617708,42.0,27.0,44.0
1847,DR MM BROWN AND PARTNERS,54,3767891.0,Named Doctor,1,MM BROWN LIMITED,MM PARTNERS LIMITED,DR A AZAM AND PARTNERS,16.499353,15.00445,13.374683,13.0,18.0,7.0
1848,DR MM RAHMAN,11,387891.0,Named Doctor,1,MM RAHMAN UK LIMITED,DR JULIA RAHMAN LIMITED,DR RAHMAN AND CO LIMITED,17.639538,16.190819,16.190819,14.0,13.0,18.0
1849,DR MM ROY AND PARTNER,1,31932.0,Named Doctor,1,DR SARKAR AND DR ROY LIMITED,DR CH ROYS PRACTICE,DR ROY KUKREJA LIMITED,16.324915,15.182638,15.182638,18.0,11.0,16.0
1850,DR MM SINGH,6,215194.0,Named Doctor,1,SINGH MM LIMITED,DR SINGH LIMITED,DR SINGH M,17.934376,16.30461,16.30461,11.0,11.0,5.0
1851,DR MM SULTAN,225,4889734.0,Named Doctor,1,DR S SULTAN LIMITED,SULTANS LIMITED,MM AND MM CONSTRUCTIONS LIMITED,16.176205,12.245128999999999,11.349617,10.0,12.0,23.0
1852,DR MN CHEEMA,19,527621.0,Named Doctor,1,CHEEMA AND CHEEMA BUILDERS LIMITED,DR MN KALE MEMORIAL TRUST,CHEEMA LIMITED,14.443516,14.39701,13.252985,25.0,15.0,12.0
1853,DR MODI B,22,650408.0,Named Doctor,1,DR B MODI,MODI AND MODI LIMITED,MODIS LIMITED,25.886682999999998,16.611074,14.055698000000001,4.0,14.0,10.0
1854,DR MOHAMMAD SHAWKET AHMED,1,26555.0,Named Doctor,1,DR ANDERSON AND DR AHMED,DR AHMED AND PARTNERS,DR AHMED ONCOLOGY LIMITED,17.959335,17.202131,15.29119,15.0,17.0,17.0
1855,DR MOHAMMED NASIR IMAM,23,775509.0,Named Doctor,1,DR M MOHAMED LIMITED,DR MOHAMMED PATEL LIMITED,IMAM,16.417370000000002,16.417370000000002,15.909198000000002,11.0,9.0,18.0
1856,DR MOHAMMED Y I,10,322884.0,Named Doctor,1,I MOHAMMED LIMITED,DR M MOHAMED LIMITED,DR MOHAMMED PATEL LIMITED,17.66801,16.417370000000002,16.417370000000002,8.0,9.0,11.0
1857,DR MOHAN AND ASSOCIATES,58,3691075.0,Named Doctor,1,MOHAN ASSOCIATES LIMITED,THE MOHAN RESIDENTS ASSOCIATION LIMITED,A MOHAN LIMITED,16.682198,14.829016000000001,13.949351,15.0,21.0,13.0
1858,DR MOHINDRA AND PTRS,5,114212.0,Named Doctor,1,DR INGRAM AND PTRS,MOHINDRA LIMITED,JORDAN PTRS LIMITED,21.96968,16.798363000000002,14.486792999999999,5.0,10.0,17.0
1859,DR MOLLA,68,2144164.0,Named Doctor,1,MOLLA AND KESANI,M MOLLA LIMITED,MOLLA 1 LIMITED,16.353813,14.310076,14.310076,14.0,10.0,13.0
1860,DR MOLONY J P AND PARTNERS,103,10095857.0,Named Doctor,1,DR PAL P AND PARTNER,DR J BARRELL AND PARTNERS,DR J GREIG AND PARTNERS,17.243181,16.569315,16.569315,8.0,10.0,10.0
1861,DR MOLSEN AND PARTNERS,56,1440636.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,6.0,5.0,5.0
1862,DR MONK AND PARTNERS,74,3782401.0,Named Doctor,1,MONK AND PARTNERS PROFESSIONAL LIMITED,MONK AND PARTNERS SEV LIMITED,DR A AZAM AND PARTNERS,14.087382,14.087382,13.374683,24.0,15.0,6.0
1863,DR MOODY M E A AND PARTNERS,83,5168381.0,Named Doctor,1,DR SIMON MOODIE LIMITED,E M TURCAN AND PARTNERS,DR E M RAGLAN LIMITED,16.020607000000002,15.889861999999999,15.574116,20.0,11.0,17.0
1864,DR MOONGA P S,32,891793.0,Named Doctor,1,DR P AND S POOLOGANATHAN,DR P S RAY LIMITED,A S S A P,16.929916,15.237247,13.504788000000001,17.0,13.0,9.0
1865,DR MOORE AND PARTNERS NEWCASTLE TYNE,21,1334141.0,Named Doctor,1,GIRLGUIDING NEWCASTLE UPON TYNE,NEWCASTLE TYNE THEATRE LIMITED,NEWCASTLE UPON TYNE PRIZE,16.015118,16.015118,16.015118,23.0,30.0,29.0
1866,DR MOORE AND PARTNERS ST GERMANS,100,3266966.0,Named Doctor,1,ST GERMANS ACADEMY,ST GERMANS PRIORY,ST GERMANS PRIORY,15.141029000000001,15.141029000000001,15.141029000000001,24.0,24.0,24.0
1867,DR MORAN S G AND PARTNERS,45,3589109.0,Named Doctor,1,DR G S RANDHAWA AND PARTNER,DR G LEES AND PARTNERS,DR S BRINKSMAN AND PARTNERS,19.959099,17.252281,16.812948000000002,10.0,8.0,8.0
1868,DR MORETON E I J AND PARTNERS,40,2293709.0,Named Doctor,1,DR I RASIB AND PARTNERS,DR J BARRELL AND PARTNERS,DR J GREIG AND PARTNERS,17.828506,16.569315,16.569315,11.0,12.0,11.0
1869,DR MORGAN AND PARTNERS,56,5989656.0,Named Doctor,1,MORGAN AND PARTNERS,MORGAN PARTNERS LP,DR LUTHER MORGAN LIMITED,15.944389000000001,13.951817000000002,13.816289999999999,3.0,10.0,17.0
1870,DR MORGAN D R AND PARTNERS,89,6749335.0,Named Doctor,1,DR R KAPUR AND PARTNERS,MORGAN AND PARTNERS,R D HUTTON AND PARTNERS,16.982843,15.944389000000001,15.472176000000001,8.0,7.0,11.0
1871,DR MORICE AND PARTNERS,176,13103741.0,Named Doctor,1,MISS MARY MORICE,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.486792999999999,13.374683,13.374683,16.0,6.0,6.0
1872,DR MORJARIA K S,19,678351.0,Named Doctor,1,DR S K DUTTA LIMITED,DR S K SERAJ LIMITED,MORJARIA LIMITED,15.442762,15.442762,15.303212,15.0,14.0,10.0
1873,DR MORLEY R L AND PARTNERS,219,32776705.0,Named Doctor,1,DR L FREEMAN AND PARTNERS,DR R KAPUR AND PARTNERS,L MORLEY LIMITED,17.562044,16.982843,16.039513,9.0,9.0,15.0
1874,DR MORRIS AND PARTNERS,16,790651.0,Named Doctor,1,DR MORRIS LIMITED,ADRIAN MORRIS AND PARTNERS,MORRIS AND PARTNERS LIMITED,16.039263000000002,14.448167999999999,14.448167999999999,10.0,4.0,11.0
1875,DR MORRIS M AND PARTNERS,38,2140825.0,Named Doctor,1,DR MORRIS LIMITED,DR S M CHEN AND PARTNER,ADRIAN MORRIS AND PARTNERS,16.039263000000002,15.113888000000001,14.448167999999999,12.0,9.0,6.0
1876,DR MORWOOD AND PARTNERS,70,6092664.0,Named Doctor,1,JOHN MORWOOD LIMITED,MARINO MORWOOD LIMITED,MORWOOD ASSOCIATES LIMITED,13.908635,13.908635,13.908635,14.0,15.0,19.0
1877,DR MOSS AND PARTNERS,46,5889012.0,Named Doctor,1,DR SHARON MOSS,DR L MOSS PRACTICE,DR A AZAM AND PARTNERS,16.625874,14.778948000000002,13.374683,14.0,12.0,6.0
1878,DR MOSSAD M G,48,1242120.0,Named Doctor,1,MOSSADE LIMITED,DR G M HARTMANN LIMITED,DR M EHSAN,17.508952999999998,15.22735,12.9996605,10.0,16.0,8.0
1879,DR MOSTAFA M A,58,2641159.0,Named Doctor,1,MOSTAFA PMS,MOSTAFA NABILY LIMITED,MOSTAFA TRANSPORT LIMITED,16.555767000000003,14.486792999999999,14.486792999999999,6.0,16.0,19.0
1880,DR MOTTRAM AND PARTNERS,80,3971821.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,5.0,7.0,7.0
1881,DR MP EDDINGTON AND PARTNERS,53,2546511.0,Named Doctor,1,EDDINGTONS LIMITED,MP PARTNERS LIMITED,DR MP CLARKES PRACTICE,15.22763,15.100795999999999,14.837631,17.0,21.0,19.0
1882,DR MP LYNCH AND PARTNER,104,4890100.0,Named Doctor,1,DR MARY LYNCH LIMITED,MP PARTNERS LIMITED,DR MP CLARKES PRACTICE,15.54026,15.100795999999999,14.837631,12.0,18.0,14.0
1883,DR MS BAIG AND E KONG TA CRAWFORD STREET SURGERY,7,230330.0,Named Doctor,1,CRAWFORD STREET SURGERY,MS AND TA WORTH LIMITED,DR ALI SURGERY,23.307335000000002,15.678719000000001,14.870291,25.0,33.0,36.0
1884,DR MS PRODHAN AND PARTNER SEYMOUR GROVE,47,1380376.0,Named Doctor,1,SEYMOUR AND PARTNERS LIMITED,SEYMOUR PARTNERS LIMITED,SEYMOUR GROVE ENTERPRISES LIMITED,15.773573,15.773573,15.549835,24.0,28.0,31.0
1885,DR MS PRODHAN AND PARTNER STATION ROAD,81,3862286.0,Named Doctor,1,MS SERVICE STATION LIMITED,PARTNERS THE STATIONERS LIMITED,DR A AZAM AND PARTNERS,14.700957999999998,13.833948000000001,13.374683,27.0,29.0,20.0
1886,DR MSAHMAD AND PARTNER,8,85397.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,6.0,4.0,8.0
1887,DR MSJ KHAN BOLEYN MEDICAL CENTRE,2,579792.0,Named Doctor,1,BOLEYN MEDICAL CENTRE,DR KHAN,ISSA MEDICAL CENTRE KHAN,23.114187,18.987755,17.977013,12.0,26.0,21.0
1888,DR MT KHAN,5,71153.0,Named Doctor,1,DR KHAN,DR SAMUEL AND DR KHAN,DR F KHAN,18.987755,17.437298000000002,16.614853,3.0,12.0,2.0
1889,DR MTC HIGGINS AND PARTNERS,116,5913296.0,Named Doctor,1,MTC PARTNERING LIMITED,DR AND A HIGGINS AND SON LIMITED,MTC,17.224094,15.773423000000001,15.108526000000001,19.0,16.0,24.0
1890,DR MUCHALL AND PARTNERS,83,5030915.0,Named Doctor,1,MUCHALL COACHING LIMITED,MUCHALLS INN LIMITED,DR A AZAM AND PARTNERS,14.699072,14.699072,13.374683,16.0,13.0,6.0
1891,DR MUGHAL AND PARTNERS,9,489412.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,5.0,6.0,7.0
1892,DR MUGHAL S,63,2423536.0,Named Doctor,1,S MUGHAL LIMITED,DR A SINGH AND DR S BICHA,DR S HUSSAIN,17.241352,13.078564,13.022267999999999,9.0,17.0,8.0
1893,DR MUHAMMAD YASSIR JAVAID,2,55200.0,Named Doctor,1,DR M YASSIR JAVAID LIMITED,DR FAQIR MUHAMMAD LIMITED,YASSIR BUILDERS LIMITED,28.672237,17.21411,14.964922,15.0,17.0,23.0
1894,DR MUKHERJEE AND PARTNERS,122,15439401.0,Named Doctor,1,DR I MUKHERJEES PRACTICE,MUKHERJEE LIMITED,MUKHERJEE LINCOLN LIMITED,18.835539,15.664067000000001,13.706529000000002,12.0,13.0,16.0
1895,DR MURPHY AND PTRS,45,4180089.0,Named Doctor,1,DR INGRAM AND PTRS,DR CLIONA MURPHY,DR PHILIP MURPHY,21.96968,16.756718,16.756718,6.0,13.0,13.0
1896,DR MURRAY J A AND PARTNERS,40,1820045.0,Named Doctor,1,DR J BARRELL AND PARTNERS,DR J GREIG AND PARTNERS,DR DYLAN MURRAY,16.569315,16.569315,16.269762,9.0,9.0,18.0
1897,DR MURTHY S R S,2,63556.0,Named Doctor,1,DR MURTHY LIMITED,S A R S,S A S R A,21.285652,20.693325,20.693325,7.0,10.0,9.0
1898,DR MUSGRAVE AND PARTNERS,9,253073.0,Named Doctor,1,MUSGRAVE CAPITAL PARTNERS LIMITED,DR COLLINSONS EDUCATIONAL FOUNDATION AT MUSGRAVE,MUSGRAVE RETAIL PARTNERS NI LIMITED,15.689820000000001,15.394075,14.121139999999999,17.0,37.0,19.0
1899,DR MUSGRAVE R J AND PARTNERS,120,10508282.0,Named Doctor,1,J MUSGRAVE LIMITED,DR R KAPUR AND PARTNERS,DR J BARRELL AND PARTNERS,17.024082,16.982843,16.569315,16.0,10.0,10.0
1900,DR MUSIL J AND PARTNER,68,3107098.0,Named Doctor,1,DR J BARRELL AND PARTNERS,DR J GREIG AND PARTNERS,DR J H ROBERTS AND PARTNERS,16.569315,16.569315,14.912701,10.0,8.0,12.0
1901,DR MUTHAPPAN A K,4,145203.0,Named Doctor,1,ST GEORGE MUTHAPPAN LIMITED,DR A K JHA SH,DR A KHAN AND K MUNEER,14.099248999999999,12.234236,12.234236,15.0,11.0,13.0
1902,DR MW HUSSAIN,18,791050.0,Named Doctor,1,DR A HUSSAIN,DR HUSSAIN,DR AH HUSSAIN,20.148476000000002,20.148476000000002,17.63052,2.0,3.0,2.0
1903,DR MY SAIGOL,4,86728.0,Named Doctor,1,SAIGOL DDC LIMITED,MY DR MEDS LIMITED,THE YOUNUS AND MARYAM SAIGOL CHARITABLE TRUST,14.964922,12.974975,11.972511,15.0,12.0,35.0
1904,DR MYERS AND PTRS,43,2208760.0,Named Doctor,1,DR INGRAM AND PTRS,DR EDWARD MYERS,JORDAN PTRS LIMITED,21.96968,17.960062,14.486792999999999,5.0,9.0,15.0
1905,DR MYERS GREENSIDE SURGERY,78,1854013.0,Named Doctor,1,GREENSIDE SURGERY,DR EDWARD MYERS,DR ALI SURGERY,21.328139999999998,17.960062,14.870291,9.0,17.0,14.0
1906,DR N A FINEGAN AND PARTNERS,87,5603491.0,Named Doctor,1,DR N DUMPHY AND PARTNERS,ANDREA FINEGAN LIMITED,FINEGAN CONSULTING LIMITED,17.730892,14.158697,14.158697,9.0,15.0,22.0
1907,DR N A GOUGH AND PARTNERS,217,13054582.0,Named Doctor,1,DR N DUMPHY AND PARTNERS,GOUGH AND PARTNERS LIMITED,LP AND N GOUGH LIMITED,17.730892,16.628632,15.386076999999998,7.0,15.0,15.0
1908,DR N A L SMITH AND PARTNERS,101,8226664.0,Named Doctor,1,DR N DUMPHY AND PARTNERS,DR L FREEMAN AND PARTNERS,DR L X SMITH LIMITED,17.730892,17.562044,16.755489999999998,8.0,9.0,14.0
1909,DR N A MCDOWALL AND PARTNERS,88,4823390.0,Named Doctor,1,MCDOWALL AND PARTNERS LIMITED,DR N DUMPHY AND PARTNERS,MCDOWALL LIMITED,18.436161,17.730892,14.335928,15.0,9.0,17.0
1910,DR N A MERALI,1,28255.0,Named Doctor,1,MERALIS LIMITED,L MERALI LIMITED,MERALI BEEDLE LIMITED,15.22763,13.324632999999999,13.324632999999999,13.0,14.0,17.0
1911,DR N A NAYYAR AND PARTNERS,90,7406015.0,Named Doctor,1,DR N DUMPHY AND PARTNERS,NAYYAR CONSULTANCY LIMITED,NAYYAR CONSULTING LIMITED,17.730892,13.53691,13.53691,7.0,22.0,22.0
1912,DR N ACQUAH,2,53697.0,Named Doctor,1,ACQUAH ANALYTICS LIMITED,ACQUAH LODGE LIMITED,ACQUAH LONDON LIMITED,14.158697,14.158697,14.158697,21.0,18.0,18.0
1913,DR N ASGHAR,18,495974.0,Named Doctor,1,DR ASGHAR LIMITED,ASGHAR LIMITED,ASGHAR ALI LIMITED,20.090431,14.408125,12.607541000000001,10.0,13.0,15.0
1914,DR N B COCKRELL AND PARTNERS,93,5460926.0,Named Doctor,1,DR N DUMPHY AND PARTNERS,COCKRELL CONSULTING LIMITED,B N A,17.730892,14.964922,14.487132999999998,10.0,23.0,23.0
1915,DR N BHADRA ROMFORD RD,56,1300188.0,Named Doctor,1,BHADRA ASSOCIATES LIMITED,DR RD JONES PRACTICE,DR RD WILLIAMS PRACTICE,14.699072,14.676434500000001,14.676434500000001,20.0,18.0,18.0
1916,DR N BILA,30,984770.0,Named Doctor,1,DR BILAS,BILAS LIMITED,AMAR BILAS LIMITED,24.446619000000002,15.895039,13.908635,3.0,11.0,13.0
1917,DR N BURBIDGE,63,3048455.0,Named Doctor,1,BAKER AND BURBIDGE CHARITY,BURBIDGE AND SON LIMITED,BURBIDGE CONSTRUCTION LIMITED,12.950536,12.950536,12.950536,14.0,18.0,23.0
